Year,Description,Image Alt,Image Link
2023,Tribute to the great pop music icon!  - (May’ 23),She was the best...simply the best,https://amul.com/files/hits/amul-hits-3338.jpg
2023,₹2000 notes to be discontinued!  - (May’ 23),"Now you currensee it, now you don’t?",https://amul.com/files/hits/amul-hits-3337.jpg
2023,The all India heat wave makes people sweat! - (May’ 23),Jalte hain jiske liye,https://amul.com/files/hits/amul-hits-3336.jpg
2023,RR batsman smashes fastest ever 50 in IPL history! - (May’ 23),"Yashash, wi think you’re fab",https://amul.com/files/hits/amul-hits-3335.jpg
2023,Messi wooed by three football clubs! - (May’ 23),Who will he pick? Who will he kick?,https://amul.com/files/hits/amul-hits-3334.jpg
2023,Cricketer Gill lends his voice to Indian Spider-Man! - (May’ 23),Shubderman!,https://amul.com/files/hits/amul-hits-3333.jpg
2023,he coronation of King Charles! - (May’ 23),Royaltea needs regal butter!,https://amul.com/files/hits/amul-hits-3332.jpg
2023,Kohli and Gambhir involved in ugly IPL spat! - (May’ 23),"Lest get refined, not fined.",https://amul.com/files/hits/amul-hits-3331.jpg
2023,PM Modi completes 100 episodes of ‘Mann ki Baat’! - (May’ 23),Ton ki baat!,https://amul.com/files/hits/amul-hits-3330.jpg
2023,Priyanka Chopra stars in exciting new web series! - (Apr’ 23),Citadelicious,https://amul.com/files/hits/amul-hits-3329.jpg
2023,Tribute to legendary singer-actor- activist! - (Apr’ 23),We’re sad to say you’re on your way…,https://amul.com/files/hits/amul-hits-3327.jpg
2023,Tribute to ex-CM of Punjab and much revered leader! - (Apr’ 23),Har Dal ka bal,https://amul.com/files/hits/amul-hits-3328.jpg
2023,Little Master honoured with gate at Sydney Cricket Ground to mark his birthday! - (Apr’ 23),A gate for an all time great!,https://amul.com/files/hits/amul-hits-3326.jpg
2023,Twitter removes blue ticks from verified accounts! - (Apr’ 23),Drastick step?,https://amul.com/files/hits/amul-hits-3325.jpg
2023,Apple first store in India opens in Mumbai! - (Apr’ 23),iMaska for all!,https://amul.com/files/hits/amul-hits-3324.jpg
2023,"Diljit Dosanjh, first Indian artiste to perform  at prestigious music and arts festival! - (Apr’ 23)",Coachella ka Guru,https://amul.com/files/hits/amul-hits-3323.jpg
2023,Jupiter’s Icy Moons Explorer (JUICE) Misson launches… - (Apr’ 23),Have Juice with breakfast,https://amul.com/files/hits/amul-hits-3322.jpg
2023,Tribute to a much loved and pioneering industrialist!- (Apr’ 23),Driven by passion and compassion,https://amul.com/files/hits/amul-hits-3321.jpg
2023,KKR batsman’s last over heroics- five successive sixes! - (Apr’ 23),Back from the Brinku!,https://amul.com/files/hits/amul-hits-3320.jpg
2023,Former U.S President indicted! - (Apr’ 23),Will they prez charges?,https://amul.com/files/hits/amul-hits-3319.jpg
2023,The concept of ‘Impact Player’ introduced in IPL 2023! - (Apr’ 23),Inpack player,https://amul.com/files/hits/amul-hits-3318.jpg
2023,Tribute to popular six hitting all-rounder! - (Apr’ 23),Salimji ko hamara akhri salaam…,https://amul.com/files/hits/amul-hits-3317.jpg
2023,Indian women boxers create history in World Championships!  - (Mar’ 23),Sabka favourite box,https://amul.com/files/hits/amul-hits-3316.jpg
2023,Mumbai Indians win inaugural Women’s Premier League (WPL)!  - (Mar’ 23),Mumbai’s kaur strength,https://amul.com/files/hits/amul-hits-3315.jpg
2023,Tribute to popular Bollywood director Pradeep Sarkar! - (Mar’ 23),Alvida Pradeepda!,https://amul.com/files/hits/amul-hits-3314.jpg
2023,Gold at an all-time high! - (Mar’ 23),"o mere sona re, sona re, sona re",https://amul.com/files/hits/amul-hits-3313.jpg
2023,Quirky Bollywood film about the life of a delivery service man! - (Mar’ 23),Butter ka Zwaagatto karo,https://amul.com/files/hits/amul-hits-3312.jpg
2023,Naatu Naatu wins Best Original Song at the Oscars! - (Mar’ 23),Can’t say naa to an oscaRRR,https://amul.com/files/hits/amul-hits-3311.jpg
2023,The Elephant Whisperers wins Best Documentary Short Film at Oscars! - (Mar’ 23),Haathi mere saathi!,https://amul.com/files/hits/amul-hits-3310.jpg
2023,Tribute to popular and much loved actor-director! - (Mar’ 23),Aap hamare dil mein rehte hai,https://amul.com/files/hits/amul-hits-3309.jpg
2023,Celebrating International Women’s Day! - (Mar’ 23),Lady get set go!,https://amul.com/files/hits/amul-hits-3308.jpg
2023,Deepika Padukone to be a presenter at the 95th Academy Awards! - (Mar’ 23),Toast kar for Deepika,https://amul.com/files/hits/amul-hits-3307.jpg
2023,The first Women’s Premier League begins! - (Mar’ 23),Yeh toh maska shuruat hai!,https://amul.com/files/hits/amul-hits-3306.jpg
2023,New World Bank chief nominated by US President! - (Feb’ 23),World’s banking on Ajay,https://amul.com/files/hits/amul-hits-3305.jpg
2023,Indian docu-series on the films of Yash Chopra… - (Feb’ 23),Kuch lamhe romance ke !,https://amul.com/files/hits/amul-hits-3304.jpg
2023,India's indigenous semi high-speed train connecting many cities day by day!  - (Feb’ 23),Smooth railing!,https://amul.com/files/hits/amul-hits-3301.jpg
2023,Star Indian all- rounder fined for applying cream on ball!  - (Feb’ 23),"Jaddu, ungli sirf butter mein daalo!",https://amul.com/files/hits/amul-hits-3302.jpg
2022,Tribute to one of football’s greatest players…  - (Dec’ 22),Simple the best!,https://amul.com/files/hits/amul-hits-3283.jpg
2022,Bollywood sequel finds critical and commercial success!  - (Dec’ 22),Dish Yum (too)!,https://amul.com/files/hits/amul-hits-3282.jpg
2022,The most expensive player in IPL history!  - (Dec’ 22),He’s currantly the costliest ,https://amul.com/files/hits/amul-hits-3281.jpg
2022,Celebrating Kisan Diwas! - (Dec’ 22),Desh ki dharti sona ugle ugle hero moti…,https://amul.com/files/hits/amul-hits-3280.jpg
2022,Hollywood blockbuster makes waves! - (Dec’ 22),Awater!,https://amul.com/files/hits/amul-hits-3279.jpg
2022,Argentina win their third FIFA World Cup! - (Dec’ 22),"Messi, Maska leo",https://amul.com/files/hits/amul-hits-3278.jpg
2022,First African nation to make it to a FIFA World Cup semi-finals… - (Dec’ 22),Merocco butter chahiye!,https://amul.com/files/hits/amul-hits-3277.jpg
2022,Argentina beat Croatia to enter finals of FIFA World Cup 2022! - (Dec’ 22),Semi final se Messi final tak!,https://amul.com/files/hits/amul-hits-3276.jpg
2022,Argentina and Croatia goalies’ penalty saves send their teams into semis! - (Dec’ 22),"Sandvic for livakovic, Maska for Martinez",https://amul.com/files/hits/amul-hits-3275.jpg
2022,BJP sweeps Gujarat Elections! - (Dec’ 22),Gujaraj!,https://amul.com/files/hits/amul-hits-3274.jpg
2022,Portuguese footballer scores hattrick on World Cup debut! - (Dec’ 22),Goal- carlo ramos!,https://amul.com/files/hits/amul-hits-3273.jpg
2022,The French striker leads Golden Boot Race with 5 goals in FIFA World Cup 2022! - (Dec’ 22),The Mbeutiful game!,https://amul.com/files/hits/amul-hits-3272.jpg
2022,Japan outdo themselves and enter last 16 of FIFA 2022! - (Dec’ 22),Hurrai for samurai!,https://amul.com/files/hits/amul-hits-3271.jpg
2022,Both Messi and Ronaldo excel for Argentina and Portugal! - (Nov’ 22),Aa dekhe zara kick mein kitna hai dum,https://amul.com/files/hits/amul-hits-3270.jpg
2022,Tribute to veteran Hindi film and Marathi theatre legend! - (Nov’ 22),Har part ke Samrat !,https://amul.com/files/hits/amul-hits-3269.jpg
2022,Celebrating the 101st birth anniversary of the Milkman of India! - (Nov’ 22),The brightest star in our Milky way  ,https://amul.com/files/hits/amul-hits-3268.jpg
2022,FIFA World Cup 2022 unleashes… - (Nov’ 22),Utterly quarterly delicious!,https://amul.com/files/hits/amul-hits-3266.jpg
2022,Tribute to the legendary actress and TV show host! - (Nov’ 22),Har Gulshan mein phool khilaye,https://amul.com/files/hits/amul-hits-3267.jpg
2022,World population reaches 8 billion!  (Nov’ 22),Billions 8 our butter!,https://amul.com/files/hits/amul-hits-3265.jpg
2022,Amul is the proud regional sponsor of the Portugal football team! - (Nov’ 22),Portugoal,https://amul.com/files/hits/amul-hits-3264.jpg
2022,India readies for G20 presidency! - (Nov’ 22),One Earth. Every family. One Butter.,https://amul.com/files/hits/amul-hits-3263.jpg
2022,Will the masterful batsman lead India to the final? - (Nov’ 22),Incredibly skylish,https://amul.com/files/hits/amul-hits-3262.jpg
2022,Star couple welcome a baby daughter! - (Nov’ 22),Alia bhetti,https://amul.com/files/hits/amul-hits-3261.jpg
2022,Twitter will now charge for the blue tick! - (Nov’ 22),Yeh blue theek nahin hai!,https://amul.com/files/hits/amul-hits-3260.jpg
2022,"Tribute to revered Gandhian, ‘the gentle revolutionary’! - (Nov’ 22).",Apki sewa hum nahin bhulenge…,https://amul.com/files/hits/amul-hits-3259.jpg
2022,Virat Kohli’s hotel room filmed! - (Nov’ 22).,Hum tum ek camera mein bandh ho!,https://amul.com/files/hits/amul-hits-3258.jpg
2022,Tesla CEO takes control of Twitter! - (Oct’ 22).,Free speech is a musk!,https://amul.com/files/hits/amul-hits-3257.jpg
2022,BCCI announces that men and women cricketers will get the same fees! - (Oct’ 22).,Equal pay for equal play!,https://amul.com/files/hits/amul-hits-3256.jpg
2022,"Britain political scene rocked, UK left leaderless! - (Oct’ 22).",Tense downing street?,https://amul.com/files/hits/amul-hits-3253.jpg
2022,India win nail-biting WC2022 match on the back of Virat’s knock! (Oct’ 22).,Top Kohlity innings!,https://amul.com/files/hits/amul-hits-3254.jpg
2022,Welcoming Britain's first Indian origin PM! - (Oct’ 22).,Rishi Sunuk!,https://amul.com/files/hits/amul-hits-3255.jpg
2022,Tribute to our founder Shri Tribhuvandas Patel on his 119th birth anniversary!- (Oct’ 22).,"Margdarshak, Milkrakshak",https://amul.com/files/hits/amul-hits-3252.jpg
2022,"Karim Benzema wins prestigious football award, oldest winner since 1956! - (Oct’ 22).",Ab ballon d’oor nahin hai!,https://amul.com/files/hits/amul-hits-3251.jpg
2022,Team India wins Women’s Asia Cup 2022! - (Oct’ 22).,Ek kaur victory!,https://amul.com/files/hits/amul-hits-3250.jpg
2022,Roger Binny to assume BCCI Presidentship! - (Sep’ 22).,Put Butter Binnyth slice!,https://amul.com/files/hits/amul-hits-3249.jpg
2022,Wishing the Big B a healthy and happy 80th birthday! - (Oct’ 22).,Bachchpan se aapke fan hai!,https://amul.com/files/hits/amul-hits-3248.jpg
2022,"The Government e Marketplace (GeM), the on-line platform for public procurement! - (Oct’ 22).",GeM of an idea!,https://amul.com/files/hits/amul-hits-3247.jpg
2022,Launch of 5G services in India! - (Oct’ 22),Packs a paanch!,https://amul.com/files/hits/amul-hits-3246.jpg
2022,"Epic film, by Mani Ratnam, Ponniyin Selvan released! - (Sep’ 22).",Get your Mani’s worth!,https://amul.com/files/hits/amul-hits-3244.jpg
2022,"From Roja to Ponniyin Selvan, a 30 year partnership! - (Oct’ 22).",Many mani years together!,https://amul.com/files/hits/amul-hits-3245.jpg
2022,Amul is the proud regional sponsor of the Argentina team! - (Sep’ 22).,Masska for messi!,https://amul.com/files/hits/amul-hits-3243.jpg
2022,Controversy over India’s Deepti Sharma ‘Mankading’ England’s Charlie Dean! - (Sep’ 22).,In-crease every snack’s taste!,https://amul.com/files/hits/amul-hits-3242.jpg
2022,Retirement of one of the fastest and greatest women fast bowlers of all time! - (Sep’ 22).,Jhulan tumhe nahin bhulan payenge!,https://amul.com/files/hits/amul-hits-3241.jpg
2022,Tribute to the popular comedian and actor! - (Sep’ 22).,Asli fun-kaar thhe!,https://amul.com/files/hits/amul-hits-3240.jpg
2022,"Coming of age Gujarati film, India’s entry to 2022 Oscars! - (Sep’ 22).",Movie show chhello! Makhan yello!,https://amul.com/files/hits/amul-hits-3239.jpg
2022,"8 big cats brought back to India, 70 years after local extinction! - (Sep’ 22).",We’re spotting cheetahs again!,https://amul.com/files/hits/amul-hits-3238.jpg
2022,The great Roger Federer calls it a day! - (Sep’ 22),You’ll never fed away,https://amul.com/files/hits/amul-hits-3237.jpg
2022,19 year old Spaniard wins US Open! - (Sep’ 22),Jo Karna hai carlo!,https://amul.com/files/hits/amul-hits-3236.jpg
2022,"Gratitude to our doctors, nurses, healthcare workers for the crossing of 200 crore vaccination! - (Sep’ 22)",A jab dastan hai yeh…,https://amul.com/files/hits/amul-hits-3235.jpg
2022,Tribute to Queen Elizabeth II.- (Sep’ 22).,United Queendom!,https://amul.com/files/hits/amul-hits-3234.jpg
2022,Tribute to Dr. Kurien on his 10th death anniversary. - (Sep’ 22).,The milkmainman of India!,https://amul.com/files/hits/amul-hits-3233.jpg
2022,UK has a new PM! - (Sep’ 22).,Pliz have some Makhan!,https://amul.com/files/hits/amul-hits-3232.jpg
2022,Tribute to a dynamic businessman! - (Sep’ 22),He still had miles to go.,https://amul.com/files/hits/amul-hits-3231.jpg
2022,"INS Vikrant, India’s first homegrown aircraft carrier, commissioned! - (Sep’ 22).",Warshipped by our armed forces,https://amul.com/files/hits/amul-hits-3230.jpg
2022,Remixed Bollywood hit goes viral globally! - (Aug’ 22),"Kaala chasma, peela chakhna",https://amul.com/files/hits/amul-hits-3229.jpg
2022,Indian all-rounder shines with both bat and ball in Asia Cup! - (Aug’ 22),Hardhit pandya!,https://amul.com/files/hits/amul-hits-3228.jpg
2022,Teenage Indian grandmaster beats world chess champ for the third time! - (Aug’ 22),He’s made great pragguress!,https://amul.com/files/hits/amul-hits-3227.jpg
2022,India’s first electric double- decker bus launched! - (Aug’ 22),Electricity to city transport!,https://amul.com/files/hits/amul-hits-3226.jpg
2022,Tribute to the legendary big bull of India! - (Aug’ 22),Apne bal se bulland bana,https://amul.com/files/hits/amul-hits-3225.jpg
2022,Celebrating 75 years of Independence! - (Aug’ 22),Tiranga ka tarang!,https://amul.com/files/hits/amul-hits-3224.jpg
2022,Tribute to universally loved pop star/actresss ! - (Aug’ 22),We were all hopelessly devoted to you,https://amul.com/files/hits/amul-hits-3223.jpg
2022,Gold- silver medals for Indian triple jumpers at CWG! - (Aug’ 22),Leapsmacking taste!,https://amul.com/files/hits/amul-hits-3222.jpg
2022,Heroic Indian steeplechaser wins silver medal at CWG! - (Aug’ 22).,Avinash yeh sab le,https://amul.com/files/hits/amul-hits-3221.jpg
2022,Indian wrestlers shine in CWG! - (Aug’ 22).,"Kabhi Kusti, kabhi Dum!",https://amul.com/files/hits/amul-hits-3220.jpg
2022,Women’s fours Lawn Bowls team win’s gold at CWG! - (Aug’ 22).,Won for all. All for won!,https://amul.com/files/hits/amul-hits-3218.jpg
2022,Saurav Ghosal’s bronze gives India first ever singles squash medal in CWG! - (Aug’ 22).,Squabash Saurav,https://amul.com/files/hits/amul-hits-3219.jpg
2022,India excels in this martial arts sport in CWG! - (Aug’ 22).,"Judoka, food- o -kho!",https://amul.com/files/hits/amul-hits-3217.jpg
2022,Indian weightlifters shine at CWG Games! - (July’ 22).,Greatlifting performance!,https://amul.com/files/hits/amul-hits-3216.jpg
2022,Wishing our athletes great success at the Commonwealth Games! - (July’ 22).,"Jamm ke khelo, jamm ke khaalo!",https://amul.com/files/hits/amul-hits-3215.jpg
2022,India hosts the 44th Chess Olympiad in Chennai! - (July’ 22).,"Check this butter, mate.",https://amul.com/files/hits/amul-hits-3214.jpg
2022,"Welcoming, Madam President! - (July’ 22).",Murmuther India.,https://amul.com/files/hits/amul-hits-3213.jpg
2022,Race to the UK Prime Ministership down to the final two! - (July’ 22).,Will Sunak win UK’s Truss?,https://amul.com/files/hits/amul-hits-3212.jpg
2022,Tribute to the renowned Ghazal singer! - (July’ 22).,Kuchh naam nahin ghumm jaate hai…,https://amul.com/files/hits/amul-hits-3211.jpg
2022,India’s badminton star adds another feather to her cap! - (July’ 22).,Sindhupore open!,https://amul.com/files/hits/amul-hits-3210.jpg
2022,Celebrating World Emoji Day! - (July’ 22).,India’s favourite Yumoji!,https://amul.com/files/hits/amul-hits-3209.jpg
2022,The Internet’s new favourite meme format! - (July’ 22).,She’s a ten…,https://amul.com/files/hits/amul-hits-3208.jpg
2022,"94 year old Bhagwani Devi, wins medals at World Masters Athletics Championships! - (July’ 22).",Bhag won by Devi!,https://amul.com/files/hits/amul-hits-3207.jpg
2022,British PM Boris Johnson resigns… - (July’ 22).,10 down and out street?,https://amul.com/files/hits/amul-hits-3206.jpg
2022,Amul is the proud official sponsor of the Indian contingent at the Commonwealth Games 2022! - (July’ 22).,BirmingHum honge kaamyab!,https://amul.com/files/hits/amul-hits-3204.jpg
2022,Tribute to the former Prime Minister of Japan and friend of India! - (July’ 22).,Abe ke liye alvida…,https://amul.com/files/hits/amul-hits-3205.jpg
2022,"Popular English language TV series, Stranger Things watched both in India and globally! - (July’ 22).",Butter makes stronger things.,https://amul.com/files/hits/amul-hits-3202.jpg
2022,Indian skipper displays all round brilliance! - (July’ 22).,Jas grit Bumrah!,https://amul.com/files/hits/amul-hits-3203.jpg
2022,India’s wicketkeeper-batsman shows his class in a crisis! - (June’ 22).,Rishabhaash!,https://amul.com/files/hits/amul-hits-3201.jpg
2022,Celebrating 100th International Day of Cooperatives! - (July’ 22),India’s favourite Cooperative celebrates #CoopsDay,https://amul.com/files/hits/amul-hits-3199.jpg
2022,Happy Doctor’s Day!  - (July’ 22).,Doc doc karne lagga…,https://amul.com/files/hits/amul-hits-3198.jpg
2022,Bollywood’s new popular family entertainer! - (June’ 22).,Roz jugg kar khao!,https://amul.com/files/hits/amul-hits-3197.jpg
2022,"Draupadi Murmu, could become India’s first tribal President! - (June’ 22).",Setting a president?,https://amul.com/files/hits/amul-hits-3196.jpg
2022,Celebrating Yoga Day! - (June’ 22).,"Tan, Man aur Bun ki shakti",https://amul.com/files/hits/amul-hits-3195.jpg
